Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Jesuran Rak Sakyi,eng ENG,"FW,MF",18.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nathan Ferguson,eng ENG,DF,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.1,38.0,711.0,18.71,500.0,63.0,43.0,46.0,43.0,16.0,81.0,2.13,53.0,3.0,7.0,8.0,9.0,1.0,
Opponent Total,,,26.8,38.0,759.0,19.97,535.0,77.0,32.0,57.0,48.0,10.0,74.0,1.95,47.0,11.0,3.0,7.0,4.0,2.0,
Pontus Jansson,se SWE,DF,30.0,36.9,14.0,0.38,7.0,0.0,0.0,6.0,1.0,0.0,4.0,0.11,1.0,0.0,0.0,2.0,1.0,0.0,Matches
Christian Nørgaard,dk DEN,MF,27.0,33.9,58.0,1.71,50.0,0.0,2.0,3.0,2.0,1.0,6.0,0.18,6.0,0.0,0.0,0.0,0.0,0.0,Matches
Bryan Mbeumo,cm CMR,FW,21.0,32.3,86.0,2.66,53.0,10.0,10.0,6.0,7.0,0.0,12.0,0.37,10.0,1.0,0.0,0.0,1.0,0.0,Matches
Rico Henry,eng ENG,DF,24.0,30.8,50.0,1.62,41.0,2.0,5.0,0.0,2.0,0.0,4.0,0.13,2.0,1.0,1.0,0.0,0.0,0.0,Matches
Ivan Toney,eng ENG,FW,25.0,32.3,94.0,2.91,57.0,1.0,2.0,18.0,14.0,2.0,10.0,0.31,5.0,0.0,1.0,0.0,4.0,0.0,Matches
Ethan Pinnock,jm JAM,DF,28.0,29.9,31.0,1.04,22.0,6.0,0.0,2.0,0.0,1.0,4.0,0.13,2.0,1.0,0.0,1.0,0.0,0.0,Matches
Vitaly Janelt,de GER,MF,23.0,25.5,57.0,2.23,42.0,3.0,2.0,6.0,2.0,2.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,Matches
Sergi Canós,es ESP,"DF,FW",24.0,23.1,37.0,1.6,29.0,3.0,3.0,2.0,0.0,0.0,5.0,0.22,3.0,1.0,0.0,1.0,0.0,0.0,Matches
David Raya,es ESP,GK,25.0,24.0,7.0,0.29,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Kristoffer Ajer,no NOR,DF,23.0,22.2,33.0,1.5,22.0,6.0,2.0,1.0,1.0,1.0,7.0,0.32,3.0,1.0,2.0,0.0,1.0,0.0,Matches
Mathias Jensen,dk DEN,MF,25.0,17.8,66.0,3.71,43.0,19.0,0.0,2.0,0.0,2.0,3.0,0.17,2.0,1.0,0.0,0.0,0.0,0.0,Matches
Yoane Wissa,cd COD,FW,24.0,14.3,27.0,1.89,16.0,0.0,2.0,4.0,4.0,1.0,4.0,0.28,3.0,0.0,0.0,1.0,0.0,0.0,Matches
Mads Roerslev,dk DEN,DF,22.0,13.8,15.0,1.09,11.0,0.0,1.0,1.0,2.0,0.0,3.0,0.22,2.0,0.0,0.0,1.0,0.0,0.0,Matches
Álvaro Fernández,es ESP,GK,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,23.0,11.6,17.0,1.46,11.0,0.0,0.0,2.0,4.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,1.0,0.0,Matches
Christian Eriksen,dk DEN,MF,29.0,10.4,57.0,5.46,26.0,27.0,1.0,1.0,1.0,1.0,7.0,0.67,2.0,5.0,0.0,0.0,0.0,0.0,Matches
Shandon Baptiste,gd GRN,MF,23.0,10.1,21.0,2.07,16.0,0.0,4.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Mads Bech Sørensen,dk DEN,DF,22.0,9.3,11.0,1.19,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mathias Jørgensen,dk DEN,DF,31.0,5.8,7.0,1.22,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Saman Ghoddos,ir IRN,"MF,DF",27.0,6.0,27.0,4.53,19.0,0.0,0.0,3.0,3.0,2.0,2.0,0.34,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Charlie Goode,eng ENG,DF,25.0,5.0,12.0,2.4,2.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Josh Dasilva,eng ENG,"MF,FW",22.0,2.9,8.0,2.8,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonas Lössl,dk DEN,GK,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dominic Thompson,eng ENG,DF,21.0,1.6,1.0,0.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcus Forss,fi FIN,"FW,MF",22.0,2.3,1.0,0.43,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Mads Bidstrup,dk DEN,MF,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tariqe Fosu,gh GHA,DF,25.0,0.2,1.0,5.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Finley Stevens,wls WAL,DF,18.0,0.2,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nathan Young-Coombes,eng ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,25.4,38.0,739.0,19.45,487.0,96.0,37.0,62.0,43.0,14.0,78.0,2.05,46.0,11.0,4.0,8.0,9.0,0.0,
Opponent Total,,,26.8,38.0,876.0,23.05,659.0,65.0,35.0,57.0,49.0,11.0,97.0,2.55,73.0,6.0,2.0,8.0,7.0,1.0,
Matty Cash,pl POL,DF,23.0,37.5,65.0,1.73,45.0,7.0,6.0,2.0,5.0,0.0,7.0,0.19,4.0,2.0,1.0,0.0,0.0,0.0,Matches
Emiliano Martínez,ar ARG,GK,28.0,36.0,5.0,0.14,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Tyrone Mings,eng ENG,DF,28.0,35.4,30.0,0.85,23.0,0.0,1.0,3.0,2.0,1.0,5.0,0.14,4.0,0.0,0.0,1.0,0.0,0.0,Matches
John McGinn,sct SCO,MF,26.0,34.3,103.0,3.0,72.0,21.0,4.0,2.0,3.0,1.0,6.0,0.17,4.0,1.0,1.0,0.0,0.0,0.0,Matches
Ollie Watkins,eng ENG,FW,25.0,32.8,82.0,2.5,56.0,0.0,10.0,8.0,6.0,2.0,9.0,0.27,4.0,0.0,2.0,2.0,1.0,0.0,Matches
Douglas Luiz,br BRA,MF,23.0,30.2,89.0,2.95,60.0,21.0,1.0,2.0,5.0,0.0,9.0,0.3,6.0,2.0,0.0,1.0,0.0,0.0,Matches
