Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Saman Ghoddos,ir IRN,"MF,DF",27.0,6.0,1,8,3,37.5,1.34,0.5,0.13,0.33,20.4,1.0,0,0,0.5,0.5,0.06,0.5,0.5,Matches
Charlie Goode,eng ENG,DF,25.0,5.0,0,2,0,0.0,0.4,0.0,0.0,,11.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Josh Dasilva,eng ENG,"MF,FW",22.0,2.9,0,1,0,0.0,0.35,0.0,0.0,,13.2,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Jonas Lössl,dk DEN,GK,32.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Dominic Thompson,eng ENG,DF,21.0,1.6,0,1,0,0.0,0.62,0.0,0.0,,14.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Marcus Forss,fi FIN,"FW,MF",22.0,2.3,0,5,0,0.0,2.15,0.0,0.0,,15.8,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Mads Bidstrup,dk DEN,MF,20.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Tariqe Fosu,gh GHA,DF,25.0,0.2,0,1,1,100.0,5.29,5.29,0.0,0.0,17.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Finley Stevens,wls WAL,DF,18.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Nathan Young-Coombes,eng ENG,MF,18.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.4,38.0,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11.0,6,6,45.8,41.1,0.1,0.2,-1.1,
Opponent Total,,,26.8,38.0,54,498,174,34.9,13.11,4.58,0.1,0.28,18.2,22.0,5,5,48.5,44.6,0.09,5.5,4.4,
Matty Cash,pl POL,DF,23.0,37.5,4,37,13,35.1,0.99,0.35,0.11,0.31,17.9,0.0,0,0,2.7,2.7,0.07,1.3,1.3,Matches
Emiliano Martínez,ar ARG,GK,28.0,36.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Tyrone Mings,eng ENG,DF,28.0,35.4,1,21,5,23.8,0.59,0.14,0.05,0.2,12.3,0.0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
