Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Manu Vallejo,es ESP,"FW,MF",24.0,1.1,0,3,1,33.3,2.76,0.92,0.0,0.0,20.6,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Jesús Santiago,es ESP,MF,17.0,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Mario Dominguez,es ESP,FW,17.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Rubén Sobrino,es ESP,MF,29.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,24.8,38.0,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18.0,8,9,39.0,32.2,0.08,6.0,4.8,
Opponent Total,,,27.8,38.0,50,437,155,35.5,11.5,4.08,0.1,0.28,18.1,19.0,7,8,47.7,41.6,0.1,2.3,1.4,
Sergio Herrera,es ESP,GK,28.0,36.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
David García,es ESP,DF,27.0,34.5,4,31,4,12.9,0.9,0.12,0.13,1.0,12.8,0.0,0,0,1.2,1.2,0.04,2.8,2.8,Matches
Jon Moncayola,es ESP,MF,23.0,32.4,2,41,12,29.3,1.27,0.37,0.05,0.17,25.5,2.0,0,0,2.3,2.3,0.06,-0.3,-0.3,Matches
Nacho Vidal,es ESP,DF,26.0,32.2,0,21,1,4.8,0.65,0.03,0.0,0.0,19.3,0.0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Lucas Torró,es ESP,MF,27.0,30.3,1,34,9,26.5,1.12,0.3,0.03,0.11,21.1,0.0,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
Rubén García,es ESP,"MF,FW",28.0,26.4,1,31,10,32.3,1.17,0.38,0.03,0.1,22.7,4.0,0,2,3.1,1.6,0.05,-2.1,-0.6,Matches
Darko Brašanac,rs SRB,MF,29.0,26.7,1,17,5,29.4,0.64,0.19,0.06,0.2,14.8,0.0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
Manuel Sánchez,es ESP,DF,20.0,25.1,1,6,2,33.3,0.24,0.08,0.17,0.5,21.0,0.0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Juan Cruz Armada,es ESP,DF,29.0,21.5,0,3,0,0.0,0.14,0.0,0.0,,17.2,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Ezequiel Ávila,ar ARG,"FW,MF",27.0,20.8,6,62,15,24.2,2.98,0.72,0.08,0.33,24.6,4.0,1,1,4.3,3.5,0.06,1.7,1.5,Matches
Ante Budimir,hr CRO,FW,30.0,19.3,8,43,19,44.2,2.23,0.98,0.14,0.32,12.3,0.0,2,2,8.3,6.8,0.16,-0.3,-0.8,Matches
Kike,es ESP,FW,31.0,20.7,5,52,19,36.5,2.51,0.92,0.08,0.21,15.8,0.0,1,1,6.7,5.9,0.11,-1.7,-1.9,Matches
Unai García,es ESP,DF,29.0,15.6,0,8,0,0.0,0.51,0.0,0.0,,17.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Aridane Hernández,gq EQG,DF,32.0,12.9,0,2,0,0.0,0.16,0.0,0.0,,14.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
José Ángel,es ESP,DF,31.0,12.0,1,11,3,27.3,0.91,0.25,0.09,0.33,27.3,0.0,0,0,0.2,0.2,0.02,0.8,0.8,Matches
Javi Martínez,es ESP,"MF,FW",21.0,9.8,1,9,2,22.2,0.92,0.2,0.11,0.5,16.3,0.0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Kike Barja,es ESP,"MF,FW",24.0,9.6,2,17,6,35.3,1.77,0.62,0.12,0.33,18.9,0.0,0,0,1.5,1.5,0.09,0.5,0.5,Matches
Oier Sanjurjo,es ESP,MF,35.0,8.4,1,9,1,11.1,1.07,0.12,0.11,1.0,17.5,0.0,0,0,0.7,0.7,0.08,0.3,0.3,Matches
Roberto Torres,es ESP,"MF,FW",32.0,9.0,2,13,3,23.1,1.45,0.33,0.0,0.0,25.0,0.0,2,2,2.1,0.5,0.04,-0.1,-0.5,Matches
Iñigo Pérez,es ESP,MF,33.0,3.8,1,4,1,25.0,1.07,0.27,0.25,1.0,25.6,1.0,0,0,0.1,0.1,0.03,0.9,0.9,Matches
Jonás Ramalho,es ESP,DF,28.0,2.7,0,2,0,0.0,0.74,0.0,0.0,,24.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jesús Areso,es ESP,DF,22.0,2.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Pérez,es ESP,GK,25.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Iker Benito,es ESP,"FW,MF",18.0,1.3,0,3,1,33.3,2.29,0.76,0.0,0.0,25.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Robert Ibáñez,es ESP,"MF,FW",28.0,1.0,0,3,0,0.0,2.9,0.0,0.0,,17.3,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Unai Dufur,es ESP,DF,22.0,1.0,0,1,0,0.0,1.0,0.0,0.0,,9.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Javier Ontiveros,es ESP,"FW,MF",23.0,0.4,0,2,1,50.0,4.62,2.31,0.0,0.0,22.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Barbero,es ESP,"FW,MF",22.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jaume Grau,es ESP,MF,24.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.7,38.0,37,425,114,26.8,11.18,3.0,0.07,0.27,19.6,11.0,6,8,36.7,30.7,0.07,0.3,0.3,
Opponent Total,,,27.6,38.0,49,437,144,33.0,11.5,3.79,0.1,0.31,18.9,8.0,4,7,46.3,40.8,0.1,2.7,4.2,
Matías Dituro,ar ARG,GK,34.0,38.0,0,1,0,0.0,0.03,0.0,0.0,,20.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Javi Galán,es ESP,DF,26.0,36.6,0,19,5,26.3,0.52,0.14,0.0,0.0,27.7,1.0,0,0,0.5,0.4,0.02,-0.5,-0.4,Matches
Iago Aspas,es ESP,FW,33.0,34.3,18,85,36,42.4,2.48,1.05,0.18,0.42,16.5,7.0,3,5,14.1,10.2,0.12,3.9,4.8,Matches
Brais Méndez,es ESP,MF,24.0,33.6,4,56,16,28.6,1.67,0.48,0.07,0.25,19.3,3.0,0,0,4.6,4.6,0.08,-0.6,-0.6,Matches
Denis Suárez,es ESP,MF,27.0,31.3,4,22,8,36.4,0.7,0.26,0.18,0.5,23.4,1.0,0,0,2.2,2.2,0.1,1.8,1.8,Matches
Fran Beltrán,es ESP,MF,22.0,28.9,1,20,4,20.0,0.69,0.14,0.05,0.25,29.2,0.0,0,0,0.4,0.4,0.02,0.6,0.6,Matches
Joseph Aidoo,gh GHA,DF,25.0,29.3,0,6,1,16.7,0.2,0.03,0.0,0.0,13.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Santi Mina,es ESP,FW,25.0,26.3,7,59,21,35.6,2.24,0.8,0.12,0.33,14.8,1.0,0,1,8.5,7.7,0.13,-1.5,-0.7,Matches
Néstor Araujo,mx MEX,DF,29.0,29.1,0,8,1,12.5,0.28,0.03,0.0,0.0,21.5,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Hugo Mallo,es ESP,DF,30.0,20.3,1,17,2,11.8,0.84,0.1,0.06,0.5,17.9,0.0,0,0,0.9,0.9,0.05,0.1,0.1,Matches
Franco Cervi,ar ARG,MF,27.0,20.0,4,22,9,40.9,1.1,0.45,0.18,0.44,16.2,0.0,0,0,3.1,3.1,0.16,0.9,0.9,Matches
Kevin Vázquez,es ESP,DF,28.0,14.8,0,3,1,33.3,0.2,0.07,0.0,0.0,9.4,0.0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Nolito,es ESP,MF,34.0,15.4,2,20,9,45.0,1.3,0.59,0.1,0.22,16.6,1.0,0,0,2.9,2.9,0.15,-0.9,-0.9,Matches
Renato Tapia,pe PER,MF,26.0,15.7,0,12,3,25.0,0.76,0.19,0.0,0.0,24.5,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Jeison Murillo,co COL,DF,29.0,12.4,0,6,1,16.7,0.48,0.08,0.0,0.0,15.8,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Thiago Galhardo,br BRA,"FW,MF",32.0,12.8,2,30,16,53.3,2.35,1.25,0.07,0.13,12.5,0.0,0,0,3.4,3.4,0.11,-1.4,-1.4,Matches
Augusto Solari,ar ARG,"MF,DF",29.0,7.9,0,7,1,14.3,0.88,0.13,0.0,0.0,24.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Carlos Dominguez,es ESP,DF,20.0,3.8,0,1,0,0.0,0.26,0.0,0.0,,7.7,0.0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
José Fontán,es ESP,DF,21.0,3.1,0,1,0,0.0,0.33,0.0,0.0,,14.0,0.0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Okay Yokuşlu,tr TUR,"DF,MF",27.0,1.6,0,2,0,0.0,1.29,0.0,0.0,,10.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Gabriel Veiga,es ESP,MF,19.0,1.2,0,2,0,0.0,1.67,0.0,0.0,,28.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Orbelín Pineda,mx MEX,"MF,FW",25.0,1.1,0,5,1,20.0,4.55,0.91,0.0,0.0,19.4,0.0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Hugo Álvarez,es ESP,FW,18.0,0.1,0,1,0,0.0,8.18,0.0,0.0,,11.5,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Miguel Baeza,es ESP,DF,21.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Hugo Sotelo,es ESP,FW,17.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.4,38.0,43,405,135,33.3,10.66,3.55,0.1,0.3,18.3,14.0,3,6,43.1,38.3,0.1,-0.1,1.7,
Opponent Total,,,27.4,38.0,41,397,128,32.2,10.45,3.37,0.09,0.29,18.0,16.0,4,8,45.7,39.4,0.1,-4.7,-2.4,
Catena,es ESP,DF,26.0,36.0,2,23,6,26.1,0.64,0.17,0.09,0.33,10.8,0.0,0,0,1.4,1.4,0.06,0.6,0.6,Matches
Iván Balliu,al ALB,DF,29.0,35.0,1,15,3,20.0,0.43,0.09,0.07,0.33,19.9,0.0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
Francisco Garcia,es ESP,DF,21.0,33.6,1,25,8,32.0,0.74,0.24,0.04,0.13,23.6,0.0,0,0,0.9,0.9,0.04,0.1,0.1,Matches
Álvaro García,es ESP,"FW,MF",28.0,33.3,7,68,23,33.8,2.04,0.69,0.1,0.3,17.0,0.0,0,0,5.3,5.3,0.08,1.7,1.7,Matches
Santi Comesaña,es ESP,MF,24.0,29.8,1,32,5,15.6,1.07,0.17,0.03,0.2,13.3,1.0,0,0,3.7,3.7,0.11,-2.7,-2.7,Matches
Stole Dimitrievski,mk MKD,GK,27.0,30.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Óscar Valentín,es ESP,MF,26.0,28.5,0,11,1,9.1,0.39,0.04,0.0,0.0,19.9,0.0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
Isaac Palazón Camacho,es ESP,"FW,MF",26.0,25.4,2,58,12,20.7,2.28,0.47,0.03,0.17,21.8,6.0,0,0,3.1,3.1,0.05,-1.1,-1.1,Matches
Óscar Trejo,ar ARG,MF,33.0,22.3,3,20,6,30.0,0.9,0.27,0.0,0.0,25.5,0.0,3,3,3.3,0.9,0.05,-0.3,-0.9,Matches
Esteban Saveljich,me MNE,DF,30.0,18.9,0,9,3,33.3,0.48,0.16,0.0,0.0,8.4,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Sergi Guardiola,es ESP,FW,30.0,19.0,8,50,16,32.0,2.63,0.84,0.14,0.44,14.5,0.0,1,1,7.1,6.3,0.13,0.9,0.7,Matches
Randy Ntekja,fr FRA,"FW,MF",23.0,16.2,3,29,8,27.6,1.79,0.49,0.1,0.38,13.3,0.0,0,0,3.4,3.4,0.12,-0.4,-0.4,Matches
Unai López,es ESP,MF,25.0,12.9,0,19,7,36.8,1.47,0.54,0.0,0.0,24.6,4.0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Pathé Ciss,sn SEN,MF,27.0,12.2,2,19,5,26.3,1.56,0.41,0.11,0.4,26.8,2.0,0,0,1.7,1.7,0.09,0.3,0.3,Matches
Nikola Maraš,rs SRB,DF,25.0,11.6,0,1,0,0.0,0.09,0.0,0.0,,17.0,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Radamel Falcao,co COL,FW,35.0,9.3,6,33,15,45.5,3.54,1.61,0.18,0.4,13.4,2.0,0,0,4.9,4.9,0.15,1.1,1.1,Matches
Mario Suárez,es ESP,DF,34.0,7.9,0,9,3,33.3,1.14,0.38,0.0,0.0,13.1,0.0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
Luca Zidane,fr FRA,GK,23.0,7.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Bebé,cv CPV,FW,31.0,9.6,1,50,8,16.0,5.19,0.83,0.02,0.13,26.7,10.0,0,0,1.7,1.7,0.03,-0.7,-0.7,Matches
Kévin Rodrigues,pt POR,"DF,FW",27.0,4.8,0,4,0,0.0,0.83,0.0,0.0,,26.9,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Mario Hernández,es ESP,"DF,FW",22.0,4.4,1,3,1,33.3,0.68,0.23,0.33,1.0,15.4,0.0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
Martín Merquelanz,es ESP,"FW,MF",26.0,1.9,0,2,0,0.0,1.04,0.0,0.0,,20.9,1.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Mamadou Sylla,sn SEN,FW,27.0,2.8,0,11,1,9.1,3.91,0.36,0.0,0.0,11.3,1.0,0,0,1.1,1.1,0.1,-1.1,-1.1,Matches
Andrés Martín,es ESP,"FW,MF",22.0,2.1,0,5,1,20.0,2.42,0.48,0.0,0.0,17.9,0.0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
José Pozo,es ESP,"MF,DF",25.0,0.8,0,3,0,0.0,3.75,0.0,0.0,,19.6,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Alejandro Asensio,es ESP,FW,20.0,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,10.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Álvaro Aguirre,es ESP,FW,21.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Yacine Qasmi,ma MAR,FW,30.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.5,38.0,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27.0,4,4,42.8,39.7,0.08,-4.8,-5.7,
Opponent Total,,,27.6,38.0,49,405,154,38.0,10.66,4.05,0.1,0.27,18.1,17.0,7,9,48.4,41.5,0.1,0.6,0.5,
Johan Mojica,co COL,DF,28.0,31.7,2,16,3,18.8,0.5,0.09,0.13,0.67,24.1,0.0,0,0,0.8,0.8,0.05,1.2,1.2,Matches
Omar Mascarell,es ESP,MF,28.0,27.7,0,12,1,8.3,0.43,0.04,0.0,0.0,24.2,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Enzo Roco,cl CHI,DF,28.0,28.4,1,11,3,27.3,0.39,0.11,0.09,0.33,11.4,0.0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
Fidel,es ESP,MF,31.0,25.1,5,17,7,41.2,0.68,0.28,0.24,0.57,15.8,1.0,1,1,2.8,2.0,0.12,2.2,2.0,Matches
Édgar Badía,es ESP,GK,29.0,24.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Helibelton Palacios,co COL,DF,28.0,21.5,0,1,0,0.0,0.05,0.0,0.0,,12.6,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Lucas Boyé,ar ARG,FW,25.0,19.0,7,49,16,32.7,2.57,0.84,0.14,0.44,16.2,2.0,0,0,4.6,4.6,0.09,2.4,2.4,Matches
Gerard Gumbau,es ESP,MF,26.0,21.0,0,21,3,14.3,1.0,0.14,0.0,0.0,29.1,3.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Diego González,es ESP,DF,26.0,19.9,0,4,1,25.0,0.2,0.05,0.0,0.0,12.2,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Pedro Bigas,es ESP,DF,30.0,17.2,1,12,3,25.0,0.7,0.17,0.08,0.33,20.6,1.0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Tete Morente,es ESP,MF,24.0,18.1,3,28,8,28.6,1.54,0.44,0.11,0.38,18.5,0.0,0,0,3.0,3.0,0.11,0.0,0.0,Matches
Pere Milla,es ESP,"MF,FW",28.0,18.3,8,29,14,48.3,1.59,0.77,0.28,0.57,13.1,0.0,0,0,4.9,4.9,0.17,3.1,3.1,Matches
Raúl Guti,es ESP,MF,24.0,18.1,0,18,5,27.8,1.0,0.28,0.0,0.0,22.9,0.0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
Gonzalo Verdú,es ESP,DF,32.0,15.5,0,3,0,0.0,0.19,0.0,0.0,,17.6,1.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Lucas Pérez,es ESP,FW,32.0,14.1,2,14,5,35.7,1.0,0.36,0.14,0.4,15.1,0.0,0,0,2.2,2.2,0.16,-0.2,-0.2,Matches
Kiko Casilla,es ESP,GK,34.0,14.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Antonio Barragán,es ESP,DF,34.0,11.3,0,1,0,0.0,0.09,0.0,0.0,,13.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Guido Carrillo,ar ARG,FW,30.0,13.0,2,23,10,43.5,1.77,0.77,0.09,0.2,11.3,0.0,0,0,2.6,2.6,0.11,-0.6,-0.6,Matches
Josan,es ESP,"DF,MF",31.0,13.5,2,12,5,41.7,0.89,0.37,0.17,0.4,14.9,0.0,0,0,1.0,1.0,0.09,1.0,1.0,Matches
Iván Marcone,ar ARG,MF,31.0,9.0,0,2,0,0.0,0.22,0.0,0.0,,19.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Darío Benedetto,ar ARG,"FW,MF",31.0,6.6,2,18,6,33.3,2.75,0.92,0.11,0.33,21.3,0.0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
Javier Pastore,ar ARG,"MF,FW",32.0,5.8,0,8,2,25.0,1.37,0.34,0.0,0.0,18.1,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Ezequiel Ponce,ar ARG,FW,24.0,7.4,1,15,5,33.3,2.02,0.67,0.07,0.2,13.5,0.0,0,0,2.5,2.5,0.17,-1.5,-1.5,Matches
Kike Pérez,es ESP,"MF,FW",24.0,5.8,2,10,5,50.0,1.73,0.87,0.2,0.4,21.7,0.0,0,0,1.0,1.0,0.1,1.0,1.0,Matches
Pablo Piatti,ar ARG,"MF,FW",32.0,3.5,0,4,2,50.0,1.15,0.58,0.0,0.0,27.1,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Lucas Olaza,uy URU,DF,27.0,3.3,1,4,1,25.0,1.22,0.31,0.25,1.0,17.7,0.0,0,0,0.7,0.7,0.22,0.3,0.3,Matches
John Donald,es ESP,DF,20.0,2.0,0,2,1,50.0,1.0,0.5,0.0,0.0,12.1,0.0,0,0,0.5,0.5,0.26,-0.5,-0.5,Matches
Josema,es ESP,DF,25.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,29.1,38.0,39,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8.0,1,1,33.7,32.9,0.1,5.3,5.1,
Opponent Total,,,27.4,38.0,52,513,166,32.4,13.5,4.37,0.09,0.27,18.0,23.0,7,9,59.1,52.1,0.1,-7.1,-7.1,
Leandro Cabrera,uy URU,DF,30.0,37.0,2,18,6,33.3,0.49,0.16,0.11,0.33,11.7,0.0,0,0,1.1,1.1,0.06,0.9,0.9,Matches
Diego López,es ESP,GK,39.0,35.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergi Darder,es ESP,MF,27.0,34.7,3,44,17,38.6,1.27,0.49,0.07,0.18,24.1,0.0,0,0,2.6,2.6,0.06,0.4,0.4,Matches
Raúl de Tomás,es ESP,FW,26.0,32.4,17,101,40,39.6,3.12,1.24,0.12,0.3,18.9,9.0,5,5,15.1,11.2,0.11,1.9,0.8,Matches
Sergi Gómez,es ESP,DF,29.0,30.2,1,8,3,37.5,0.26,0.1,0.13,0.33,13.0,0.0,0,0,0.4,0.4,0.06,0.6,0.6,Matches
Pedrosa,es ESP,DF,23.0,30.2,1,25,7,28.0,0.83,0.23,0.04,0.14,23.0,0.0,0,0,1.0,1.0,0.04,0.0,0.0,Matches
Javi Puado,es ESP,"MF,FW",23.0,24.9,4,40,12,30.0,1.6,0.48,0.1,0.33,14.9,0.0,0,0,4.9,4.9,0.12,-0.9,-0.9,Matches
Adri Embarba,es ESP,"FW,MF",29.0,22.1,0,49,16,32.7,2.22,0.73,0.0,0.0,23.1,15.0,0,0,2.8,2.8,0.06,-2.8,-2.8,Matches
Aleix Vidal,es ESP,"DF,MF",31.0,21.1,2,6,3,50.0,0.28,0.14,0.33,0.67,18.4,0.0,0,0,0.7,0.7,0.11,1.3,1.3,Matches
Óscar Gil,es ESP,DF,24.0,18.8,0,6,1,16.7,0.32,0.05,0.0,0.0,24.9,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Yangel Herrera,ve VEN,MF,23.0,18.3,1,15,2,13.3,0.82,0.11,0.07,0.5,19.8,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Keidi Bare,al ALB,MF,23.0,16.5,1,4,1,25.0,0.24,0.06,0.25,1.0,13.2,0.0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
Óscar Melendo,es ESP,"MF,FW",23.0,11.0,0,8,0,0.0,0.73,0.0,0.0,,17.5,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Fernando Calero,es ESP,DF,25.0,12.1,0,1,0,0.0,0.08,0.0,0.0,,15.3,0.0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Tonny Vilhena,nl NED,"MF,FW",26.0,10.3,1,15,3,20.0,1.45,0.29,0.07,0.33,21.1,0.0,0,0,0.8,0.8,0.05,0.2,0.2,Matches
Manu Morlanes,es ESP,MF,22.0,12.7,2,8,2,25.0,0.63,0.16,0.25,1.0,19.8,0.0,0,0,0.7,0.7,0.08,1.3,1.3,Matches
David López,es ESP,"MF,DF",31.0,8.3,0,5,4,80.0,0.61,0.48,0.0,0.0,13.6,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Nico Ribaudo,es ESP,"MF,FW",20.0,12.4,2,20,4,20.0,1.61,0.32,0.1,0.5,21.8,0.0,0,0,1.0,1.0,0.05,1.0,1.0,Matches
Loren Morón,es ESP,"FW,MF",27.0,6.3,1,10,2,20.0,1.6,0.32,0.1,0.5,20.8,0.0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
Landry Dimata,be BEL,"FW,MF",23.0,6.0,0,8,0,0.0,1.33,0.0,0.0,,11.7,0.0,0,0,1.6,1.6,0.21,-1.6,-1.6,Matches
Wu Lei,cn CHN,"FW,MF",29.0,5.3,1,7,5,71.4,1.33,0.95,0.14,0.2,14.5,0.0,0,0,1.1,1.1,0.15,-0.1,-0.1,Matches
Fran Mérida,es ESP,MF,31.0,3.0,0,4,0,0.0,1.35,0.0,0.0,,22.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Dídac Vilà,es ESP,"DF,MF",32.0,2.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Rubén,es ESP,DF,20.0,1.7,0,1,0,0.0,0.6,0.0,0.0,,31.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Oier Olazábal,es ESP,GK,31.0,1.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Joan García,es ESP,GK,20.0,1.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Miguel Juan Llambrich,es ESP,DF,25.0,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Lluís Recasens,es ESP,DF,19.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Villahermosa,es ESP,MF,20.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jofre,es ESP,"MF,DF",20.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Gori,es ESP,MF,19.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Álvaro Vadillo,es ESP,"DF,MF",26.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Victor Perea,es ESP,DF,21.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Luca Koleosho,it ITA,FW,16.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.7,38.0,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24.0,5,5,36.7,32.9,0.08,2.3,1.1,
Opponent Total,,,27.5,38.0,51,497,165,33.2,13.08,4.34,0.09,0.28,17.2,14.0,4,5,51.2,47.3,0.1,-0.2,-0.3,
David Soria,es ESP,GK,28.0,37.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Djené,tg TOG,DF,29.0,34.6,0,4,1,25.0,0.12,0.03,0.0,0.0,19.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
