Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Anthony Gordon,eng ENG,"MF,FW",20.0,25.4,54.0,32,20.0,30.0,4.0,21.0,59.0,35.6,38.0,49.0,3.0,46.0,22,76.0,17.0,0.0,Matches
Allan,br BRA,MF,30.0,24.3,74.0,44,28.0,39.0,7.0,34.0,105.0,32.4,71.0,40.0,9.0,31.0,23,97.0,39.0,1.0,Matches
Mason Holgate,eng ENG,DF,24.0,23.7,35.0,18,26.0,9.0,0.0,11.0,26.0,42.3,15.0,25.0,17.0,8.0,26,61.0,95.0,1.0,Matches
Ben Godfrey,eng ENG,DF,23.0,22.5,47.0,32,29.0,14.0,4.0,24.0,39.0,61.5,15.0,41.0,19.0,22.0,15,62.0,100.0,2.0,Matches
Alex Iwobi,ng NGA,"MF,DF",25.0,22.6,40.0,19,23.0,12.0,5.0,21.0,52.0,40.4,31.0,39.0,3.0,36.0,20,60.0,25.0,2.0,Matches
Andros Townsend,eng ENG,"MF,FW",30.0,16.2,31.0,17,15.0,6.0,10.0,15.0,40.0,37.5,25.0,28.0,2.0,26.0,14,45.0,6.0,1.0,Matches
Dominic Calvert-Lewin,eng ENG,FW,24.0,14.3,11.0,8,1.0,6.0,4.0,3.0,8.0,37.5,5.0,5.0,2.0,3.0,3,14.0,12.0,0.0,Matches
Lucas Digne,fr FRA,DF,28.0,13.0,33.0,19,26.0,4.0,3.0,21.0,28.0,75.0,7.0,16.0,5.0,11.0,14,47.0,30.0,0.0,Matches
Vitaliy Mykolenko,ua UKR,DF,22.0,11.7,25.0,15,15.0,7.0,3.0,12.0,21.0,57.1,9.0,15.0,2.0,13.0,16,41.0,37.0,0.0,Matches
Jonjoe Kenny,eng ENG,DF,24.0,11.3,17.0,7,11.0,6.0,0.0,13.0,21.0,61.9,8.0,8.0,1.0,7.0,20,37.0,31.0,0.0,Matches
Yerry Mina,co COL,DF,26.0,9.4,12.0,10,12.0,0.0,0.0,10.0,13.0,76.9,3.0,13.0,9.0,4.0,11,23.0,38.0,1.0,Matches
Salomón Rondón,ve VEN,FW,31.0,8.8,6.0,1,1.0,2.0,3.0,4.0,14.0,28.6,10.0,5.0,0.0,5.0,0,6.0,10.0,0.0,Matches
Fabian Delph,eng ENG,MF,31.0,7.4,18.0,15,10.0,7.0,1.0,8.0,21.0,38.1,13.0,12.0,5.0,7.0,14,32.0,10.0,0.0,Matches
André Gomes,pt POR,MF,28.0,6.9,16.0,4,6.0,6.0,4.0,8.0,32.0,25.0,24.0,8.0,2.0,6.0,1,17.0,7.0,1.0,Matches
Donny van de Beek,nl NED,MF,24.0,5.4,15.0,7,8.0,6.0,1.0,6.0,13.0,46.2,7.0,6.0,2.0,4.0,6,21.0,4.0,0.0,Matches
Jarrad Branthwaite,eng ENG,DF,19.0,4.3,4.0,1,3.0,1.0,0.0,3.0,8.0,37.5,5.0,3.0,2.0,1.0,1,5.0,20.0,0.0,Matches
Asmir Begović,ba BIH,GK,34.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,Matches
Tom Davies,eng ENG,MF,23.0,2.6,3.0,1,1.0,1.0,1.0,2.0,5.0,40.0,3.0,2.0,1.0,1.0,2,5.0,9.0,0.0,Matches
Dele Alli,eng ENG,"MF,FW",25.0,3.8,7.0,2,3.0,4.0,0.0,0.0,4.0,0.0,4.0,7.0,2.0,5.0,6,13.0,10.0,0.0,Matches
Jean-Philippe Gbamin,ci CIV,MF,25.0,0.7,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,2.0,1.0,0.0,Matches
Ellis Simms,eng ENG,FW,20.0,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,Matches
Lewis Dobbin,eng ENG,"FW,MF",18.0,0.4,2.0,1,0.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Matches
Tyler Onyango,eng ENG,MF,18.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Matches
Isaac Price,nir NIR,MF,17.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Matches
Anwar El Ghazi,nl NED,"FW,MF",26.0,0.1,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,3.0,0,1.0,0.0,0.0,Matches
Cenk Tosun,tr TUR,MF,30.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Moise Kean,it ITA,FW,21.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Squad Total,,,26.7,38.0,705.0,402,369.0,252.0,84.0,336.0,735.0,45.7,399.0,496.0,140.0,356.0,365,1070.0,815.0,15.0,
Opponent Total,,,26.8,38.0,620.0,336,298.0,240.0,82.0,295.0,632.0,46.7,337.0,443.0,146.0,297.0,333,953.0,653.0,6.0,
Illan Meslier,fr FRA,GK,21.0,37.6,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,27.0,1.0,Matches
Stuart Dallas,nir NIR,"DF,MF",30.0,32.4,93.0,55,58.0,31.0,4.0,56.0,105.0,53.3,49.0,45.0,14.0,31.0,57,150.0,63.0,2.0,Matches
Raphinha,br BRA,"FW,MF",24.0,32.4,51.0,29,25.0,14.0,12.0,22.0,71.0,31.0,49.0,43.0,0.0,43.0,29,80.0,28.0,1.0,Matches
Jack Harrison,eng ENG,"FW,MF",24.0,29.3,57.0,37,22.0,22.0,13.0,31.0,76.0,40.8,45.0,35.0,1.0,34.0,21,78.0,19.0,0.0,Matches
Daniel James,wls WAL,"FW,MF",23.0,26.3,24.0,14,8.0,8.0,8.0,10.0,23.0,43.5,13.0,18.0,1.0,17.0,8,32.0,12.0,0.0,Matches
Diego Llorente,es ESP,DF,27.0,26.0,53.0,31,32.0,19.0,2.0,33.0,47.0,70.2,14.0,35.0,17.0,18.0,40,93.0,77.0,2.0,Matches
Rodrigo,es ESP,"MF,FW",30.0,25.2,20.0,9,7.0,6.0,7.0,4.0,32.0,12.5,28.0,12.0,0.0,12.0,11,31.0,27.0,1.0,Matches
Luke Ayling,eng ENG,DF,29.0,25.2,74.0,42,46.0,23.0,5.0,51.0,97.0,52.6,46.0,46.0,25.0,21.0,28,102.0,52.0,1.0,Matches
Mateusz Klich,pl POL,MF,31.0,23.0,47.0,25,18.0,23.0,6.0,25.0,66.0,37.9,41.0,22.0,4.0,18.0,11,58.0,20.0,0.0,Matches
Pascal Struijk,nl NED,"DF,MF",21.0,22.8,61.0,39,34.0,23.0,4.0,30.0,50.0,60.0,20.0,35.0,23.0,12.0,33,94.0,60.0,2.0,Matches
Liam Cooper,sct SCO,DF,29.0,20.2,41.0,23,27.0,13.0,1.0,23.0,33.0,69.7,10.0,29.0,18.0,11.0,43,84.0,72.0,2.0,Matches
Junior Firpo,es ESP,"DF,MF",24.0,19.0,61.0,29,30.0,26.0,5.0,31.0,59.0,52.5,28.0,22.0,6.0,16.0,24,85.0,37.0,0.0,Matches
Kalvin Phillips,eng ENG,MF,25.0,17.7,54.0,25,24.0,25.0,5.0,24.0,57.0,42.1,33.0,37.0,9.0,28.0,24,78.0,18.0,0.0,Matches
Robin Koch,de GER,"MF,DF",25.0,17.5,21.0,13,9.0,10.0,2.0,9.0,34.0,26.5,25.0,26.0,10.0,16.0,20,41.0,44.0,0.0,Matches
Adam Forshaw,eng ENG,MF,29.0,17.0,53.0,23,21.0,27.0,5.0,21.0,54.0,38.9,33.0,17.0,1.0,16.0,19,72.0,12.0,2.0,Matches
Tyler Roberts,wls WAL,"MF,FW",22.0,11.0,16.0,7,6.0,7.0,3.0,9.0,16.0,56.3,7.0,11.0,1.0,10.0,5,21.0,11.0,0.0,Matches
Jamie Shackleton,eng ENG,"DF,MF",21.0,7.9,27.0,16,19.0,7.0,1.0,13.0,25.0,52.0,12.0,11.0,7.0,4.0,8,35.0,12.0,1.0,Matches
Patrick Bamford,eng ENG,FW,27.0,6.2,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,8.0,2.0,6.0,2,3.0,8.0,0.0,Matches
Joe Gelhardt,eng ENG,"FW,MF",19.0,8.3,4.0,3,1.0,0.0,3.0,2.0,10.0,20.0,8.0,9.0,0.0,9.0,0,4.0,3.0,0.0,Matches
Sam Greenwood,eng ENG,"MF,FW",19.0,2.6,8.0,5,0.0,5.0,3.0,4.0,7.0,57.1,3.0,3.0,0.0,3.0,2,10.0,1.0,0.0,Matches
Lewis Bate,eng ENG,MF,18.0,1.6,1.0,0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,1.0,0.0,1.0,1,2.0,1.0,0.0,Matches
Charlie Cresswell,eng ENG,DF,18.0,1.6,5.0,2,1.0,4.0,0.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,2,7.0,6.0,0.0,Matches
Cody Drameh,eng ENG,"DF,MF",19.0,1.4,4.0,2,3.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1,5.0,4.0,0.0,Matches
Leo Fuhr Hjelde,no NOR,"MF,DF",17.0,1.7,5.0,4,3.0,2.0,0.0,3.0,3.0,100.0,0.0,3.0,3.0,0.0,4,9.0,7.0,0.0,Matches
Crysencio Summerville,nl NED,"MF,FW",19.0,1.4,5.0,3,1.0,1.0,3.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,2,7.0,0.0,0.0,Matches
Kristoffer Klaesson,no NOR,GK,20.0,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Hélder Costa,ao ANG,MF,27.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Matches
Liam McCarron,sct SCO,FW,20.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Matches
Stuart McKinstry,sct SCO,MF,18.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Squad Total,,,26.1,38.0,787.0,437,396.0,298.0,93.0,408.0,886.0,46.0,478.0,473.0,143.0,330.0,395,1182.0,621.0,15.0,
Opponent Total,,,26.9,38.0,614.0,351,282.0,248.0,84.0,316.0,655.0,48.2,339.0,459.0,138.0,321.0,398,1012.0,735.0,20.0,
Nick Pope,eng ENG,GK,29.0,36.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2,2.0,30.0,3.0,Matches
Dwight McNeil,eng ENG,MF,21.0,34.5,78.0,49,27.0,38.0,13.0,33.0,73.0,45.2,40.0,64.0,11.0,53.0,35,113.0,31.0,1.0,Matches
James Tarkowski,eng ENG,DF,28.0,34.5,65.0,45,47.0,17.0,1.0,33.0,47.0,70.2,14.0,75.0,61.0,14.0,48,113.0,186.0,4.0,Matches
Josh Brownhill,eng ENG,MF,25.0,32.8,73.0,37,25.0,42.0,6.0,21.0,53.0,39.6,32.0,37.0,12.0,25.0,68,141.0,42.0,1.0,Matches
Charlie Taylor,eng ENG,DF,27.0,30.3,45.0,26,31.0,11.0,3.0,26.0,44.0,59.1,18.0,42.0,20.0,22.0,58,103.0,95.0,2.0,Matches
Ashley Westwood,eng ENG,MF,31.0,25.4,21.0,12,8.0,12.0,1.0,10.0,31.0,32.3,21.0,21.0,9.0,12.0,30,51.0,16.0,1.0,Matches
Ben Mee,eng ENG,DF,31.0,20.4,26.0,12,16.0,7.0,3.0,12.0,19.0,63.2,7.0,28.0,22.0,6.0,24,50.0,94.0,1.0,Matches
Maxwel Cornet,ci CIV,"FW,MF",24.0,19.6,16.0,9,7.0,5.0,4.0,7.0,15.0,46.7,8.0,13.0,4.0,9.0,10,26.0,14.0,0.0,Matches
Matthew Lowton,eng ENG,DF,32.0,19.7,38.0,24,20.0,10.0,8.0,20.0,37.0,54.1,17.0,25.0,11.0,14.0,26,64.0,68.0,0.0,Matches
Jack Cork,eng ENG,MF,32.0,18.6,20.0,6,6.0,11.0,3.0,7.0,20.0,35.0,13.0,17.0,4.0,13.0,17,37.0,29.0,1.0,Matches
Connor Roberts,wls WAL,DF,25.0,18.8,20.0,13,10.0,7.0,3.0,10.0,15.0,66.7,5.0,25.0,5.0,20.0,22,42.0,62.0,1.0,Matches
Nathan Collins,ie IRL,DF,20.0,18.6,37.0,15,27.0,8.0,2.0,17.0,27.0,63.0,10.0,38.0,25.0,13.0,24,61.0,83.0,2.0,Matches
Aaron Lennon,eng ENG,"MF,FW",34.0,17.2,33.0,17,10.0,13.0,10.0,10.0,34.0,29.4,24.0,26.0,4.0,22.0,9,42.0,14.0,0.0,Matches
Wout Weghorst,nl NED,FW,28.0,16.1,17.0,9,3.0,9.0,5.0,6.0,19.0,31.6,13.0,16.0,5.0,11.0,6,23.0,13.0,0.0,Matches
Chris Wood,nz NZL,FW,29.0,15.2,7.0,5,0.0,3.0,4.0,3.0,10.0,30.0,7.0,13.0,4.0,9.0,0,7.0,3.0,0.0,Matches
Jay Rodriguez,eng ENG,FW,32.0,15.4,20.0,12,8.0,8.0,4.0,4.0,14.0,28.6,10.0,19.0,1.0,18.0,4,24.0,12.0,0.0,Matches
Jóhann Berg Guðmundsson,is ISL,MF,30.0,12.2,16.0,6,7.0,7.0,2.0,5.0,20.0,25.0,15.0,11.0,2.0,9.0,12,28.0,22.0,0.0,Matches
Ashley Barnes,eng ENG,FW,31.0,9.0,11.0,2,2.0,7.0,2.0,2.0,9.0,22.2,7.0,8.0,1.0,7.0,2,13.0,5.0,0.0,Matches
Erik Pieters,nl NED,DF,32.0,8.1,28.0,15,15.0,11.0,2.0,17.0,28.0,60.7,11.0,18.0,7.0,11.0,10,38.0,38.0,0.0,Matches
Matěj Vydra,cz CZE,FW,29.0,7.5,12.0,7,3.0,4.0,5.0,3.0,7.0,42.9,4.0,5.0,1.0,4.0,0,12.0,9.0,0.0,Matches
Kevin Long,ie IRL,DF,30.0,4.6,3.0,2,1.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,1.0,3.0,1,4.0,20.0,0.0,Matches
Wayne Hennessey,wls WAL,GK,34.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,Matches
Dale Stephens,eng ENG,MF,32.0,1.4,4.0,1,0.0,3.0,1.0,3.0,8.0,37.5,5.0,4.0,1.0,3.0,1,5.0,1.0,0.0,Matches
Squad Total,,,28.5,38.0,590.0,324,273.0,235.0,82.0,250.0,534.0,46.8,284.0,509.0,211.0,298.0,410,1000.0,887.0,18.0,
Opponent Total,,,26.7,38.0,512.0,306,249.0,202.0,61.0,221.0,479.0,46.1,258.0,369.0,104.0,265.0,280,792.0,853.0,9.0,
Moussa Sissoko,fr FRA,MF,31.0,35.8,53.0,27,27.0,20.0,6.0,28.0,42.0,66.7,14.0,42.0,13.0,29.0,30,83.0,64.0,0.0,Matches
Emmanuel Dennis,ng NGA,"FW,MF",23.0,28.7,51.0,35,20.0,22.0,9.0,17.0,52.0,32.7,35.0,36.0,2.0,34.0,15,66.0,13.0,0.0,Matches
Craig Cathcart,nir NIR,DF,32.0,26.6,32.0,15,25.0,6.0,1.0,16.0,30.0,53.3,14.0,39.0,29.0,10.0,28,60.0,132.0,3.0,Matches
Joshua King,no NOR,FW,29.0,25.0,19.0,15,7.0,6.0,6.0,4.0,17.0,23.5,13.0,15.0,4.0,11.0,8,27.0,31.0,0.0,Matches
Ben Foster,eng ENG,GK,38.0,26.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0,0.0,9.0,4.0,Matches
Kiko Femenía,es ESP,DF,30.0,23.8,35.0,22,23.0,10.0,2.0,21.0,37.0,56.8,16.0,24.0,8.0,16.0,37,72.0,51.0,0.0,Matches
Juraj Kucka,sk SVK,MF,34.0,21.3,59.0,39,32.0,25.0,2.0,27.0,73.0,37.0,46.0,30.0,9.0,21.0,27,86.0,46.0,2.0,Matches
Ismaila Sarr,sn SEN,"FW,MF",23.0,20.7,12.0,7,4.0,3.0,5.0,5.0,19.0,26.3,14.0,10.0,1.0,9.0,9,21.0,10.0,0.0,Matches
Tom Cleverley,eng ENG,MF,31.0,18.0,37.0,20,19.0,17.0,1.0,18.0,33.0,54.5,15.0,23.0,6.0,17.0,18,55.0,19.0,3.0,Matches
Samir Santos,br BRA,DF,26.0,18.6,24.0,11,18.0,6.0,0.0,8.0,19.0,42.1,11.0,21.0,11.0,10.0,43,67.0,85.0,3.0,Matches
Hassane Kamara,ci CIV,DF,27.0,18.0,53.0,34,31.0,16.0,6.0,27.0,43.0,62.8,16.0,20.0,4.0,16.0,69,122.0,67.0,0.0,Matches
Imran Louza,ma MAR,MF,22.0,15.7,41.0,21,18.0,20.0,3.0,16.0,38.0,42.1,22.0,28.0,6.0,22.0,42,83.0,20.0,1.0,Matches
João Pedro,br BRA,"FW,MF",19.0,18.3,20.0,14,7.0,8.0,5.0,6.0,23.0,26.1,17.0,23.0,3.0,20.0,15,35.0,17.0,0.0,Matches
William Troost-Ekong,ng NGA,DF,27.0,15.4,18.0,9,11.0,6.0,1.0,10.0,15.0,66.7,5.0,24.0,14.0,10.0,7,25.0,82.0,1.0,Matches
Adam Masina,ma MAR,DF,27.0,12.0,24.0,13,11.0,10.0,3.0,12.0,29.0,41.4,17.0,18.0,6.0,12.0,18,42.0,45.0,0.0,Matches
Christian Kabasele,be BEL,DF,30.0,13.3,11.0,5,10.0,1.0,0.0,7.0,10.0,70.0,3.0,20.0,16.0,4.0,14,25.0,67.0,1.0,Matches
Daniel Bachmann,at AUT,GK,27.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,5.0,0.0,Matches
Cucho,co COL,"FW,MF",22.0,12.7,13.0,5,5.0,5.0,3.0,5.0,27.0,18.5,22.0,13.0,1.0,12.0,5,18.0,9.0,0.0,Matches
Jeremy Ngakia,eng ENG,DF,20.0,10.0,31.0,18,23.0,5.0,3.0,11.0,26.0,42.3,15.0,11.0,4.0,7.0,12,43.0,32.0,0.0,Matches
Edo Kayembe,cd COD,MF,23.0,8.9,21.0,13,11.0,9.0,1.0,8.0,16.0,50.0,8.0,6.0,1.0,5.0,9,30.0,13.0,0.0,Matches
Ken Sema,se SWE,"MF,FW",27.0,9.5,16.0,6,11.0,4.0,1.0,9.0,20.0,45.0,11.0,10.0,0.0,10.0,5,21.0,11.0,0.0,Matches
Danny Rose,eng ENG,DF,31.0,7.7,16.0,10,11.0,4.0,1.0,10.0,24.0,41.7,14.0,8.0,5.0,3.0,14,30.0,11.0,1.0,Matches
Francisco Sierralta,cl CHI,DF,24.0,4.7,7.0,3,7.0,0.0,0.0,5.0,8.0,62.5,3.0,7.0,2.0,5.0,6,13.0,35.0,0.0,Matches
Oghenekaro Etebo,ng NGA,MF,25.0,4.5,11.0,8,7.0,4.0,0.0,3.0,8.0,37.5,5.0,3.0,1.0,2.0,5,16.0,5.0,0.0,Matches
Ozan Tufan,tr TUR,MF,26.0,3.7,3.0,2,1.0,1.0,1.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,2,5.0,4.0,0.0,Matches
Samuel Kalu,ng NGA,FW,23.0,2.5,2.0,2,0.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,3,5.0,3.0,0.0,Matches
Nicolas Nkoulou,cm CMR,DF,31.0,1.9,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,2,3.0,8.0,0.0,Matches
Dan Gosling,eng ENG,MF,31.0,1.8,2.0,1,1.0,1.0,0.0,2.0,6.0,33.3,4.0,2.0,0.0,2.0,0,2.0,3.0,0.0,Matches
Ashley Fletcher,eng ENG,FW,25.0,0.3,2.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0,2.0,0.0,0.0,Matches
Troy Deeney,eng ENG,FW,33.0,0.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Matches
Squad Total,,,28.4,38.0,614.0,356,341.0,213.0,60.0,278.0,626.0,44.4,348.0,440.0,148.0,292.0,444,1058.0,899.0,19.0,
Opponent Total,,,26.8,38.0,745.0,438,356.0,287.0,102.0,356.0,751.0,47.4,395.0,377.0,93.0,284.0,347,1092.0,608.0,15.0,
Teemu Pukki,fi FIN,FW,31.0,36.1,23.0,11,2.0,14.0,7.0,6.0,29.0,20.7,23.0,21.0,1.0,20.0,4,27.0,3.0,0.0,Matches
Grant Hanley,sct SCO,DF,29.0,32.2,44.0,25,28.0,14.0,2.0,18.0,35.0,51.4,17.0,56.0,45.0,11.0,56,100.0,176.0,2.0,Matches
Max Aarons,eng ENG,DF,21.0,32.0,64.0,44,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28,92.0,96.0,1.0,Matches
Kenny McLean,sct SCO,MF,29.0,30.1,42.0,22,18.0,20.0,4.0,17.0,59.0,28.8,42.0,29.0,7.0,22.0,34,76.0,54.0,0.0,Matches
Tim Krul,nl NED,GK,33.0,29.0,1.0,1,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,0,1.0,10.0,4.0,Matches
Ben Gibson,eng ENG,DF,28.0,27.7,23.0,16,17.0,6.0,0.0,7.0,12.0,58.3,5.0,36.0,30.0,6.0,27,50.0,139.0,2.0,Matches
Pierre Lees-Melou,fr FRA,MF,28.0,25.2,58.0,36,23.0,29.0,6.0,25.0,92.0,27.2,67.0,37.0,11.0,26.0,25,83.0,23.0,0.0,Matches
Milot Rashica,xk KVX,"FW,MF",25.0,24.8,31.0,19,12.0,12.0,7.0,11.0,30.0,36.7,19.0,22.0,3.0,19.0,15,46.0,23.0,0.0,Matches
Brandon Williams,eng ENG,DF,20.0,23.6,55.0,37,35.0,18.0,2.0,36.0,64.0,56.3,28.0,26.0,6.0,20.0,44,99.0,50.0,0.0,Matches
Billy Gilmour,sct SCO,MF,20.0,20.6,41.0,21,16.0,21.0,4.0,14.0,52.0,26.9,38.0,21.0,4.0,17.0,17,58.0,29.0,0.0,Matches
Mathias Normann,no NOR,MF,25.0,18.3,34.0,21,19.0,14.0,1.0,17.0,46.0,37.0,29.0,17.0,8.0,9.0,19,53.0,43.0,1.0,Matches
Josh Sargent,us USA,"FW,MF",21.0,17.5,26.0,14,15.0,7.0,4.0,14.0,39.0,35.9,25.0,29.0,2.0,27.0,11,37.0,18.0,2.0,Matches
Dimitris Giannoulis,gr GRE,DF,25.0,13.0,36.0,21,17.0,17.0,2.0,24.0,36.0,66.7,12.0,22.0,6.0,16.0,19,55.0,41.0,1.0,Matches
Sam Byram,eng ENG,DF,27.0,11.4,24.0,15,17.0,6.0,1.0,19.0,27.0,70.4,8.0,21.0,11.0,10.0,22,46.0,48.0,0.0,Matches
Ozan Kabak,tr TUR,DF,21.0,10.2,10.0,5,4.0,6.0,0.0,5.0,9.0,55.6,4.0,19.0,11.0,8.0,16,26.0,26.0,0.0,Matches
Kieran Dowell,eng ENG,"FW,MF",23.0,10.1,18.0,7,8.0,7.0,3.0,9.0,32.0,28.1,23.0,10.0,1.0,9.0,7,25.0,4.0,0.0,Matches
Angus Gunn,sct SCO,GK,25.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,11.0,0.0,Matches
Lukas Rupp,de GER,MF,30.0,8.5,9.0,4,5.0,3.0,1.0,4.0,15.0,26.7,11.0,11.0,1.0,10.0,9,18.0,7.0,0.0,Matches
Adam Idah,ie IRL,"FW,MF",20.0,6.9,9.0,6,2.0,5.0,2.0,2.0,3.0,66.7,1.0,4.0,2.0,2.0,3,12.0,7.0,0.0,Matches
Jakob Sørensen,dk DEN,"MF,DF",23.0,6.7,22.0,11,6.0,14.0,2.0,10.0,20.0,50.0,10.0,7.0,3.0,4.0,10,32.0,19.0,0.0,Matches
Przemysław Płacheta,pl POL,"FW,MF",23.0,5.6,4.0,3,3.0,1.0,0.0,2.0,7.0,28.6,5.0,3.0,1.0,2.0,2,6.0,5.0,1.0,Matches
Todd Cantwell,eng ENG,"FW,MF",23.0,4.9,15.0,13,8.0,6.0,1.0,6.0,17.0,35.3,11.0,2.0,0.0,2.0,3,18.0,2.0,0.0,Matches
Andrew Omobamidele,ie IRL,DF,19.0,4.2,8.0,6,5.0,3.0,0.0,5.0,11.0,45.5,6.0,8.0,8.0,0.0,5,13.0,13.0,0.0,Matches
Christos Tzolis,gr GRE,"FW,MF",19.0,3.7,5.0,3,3.0,1.0,1.0,2.0,9.0,22.2,7.0,3.0,0.0,3.0,1,6.0,1.0,0.0,Matches
Christoph Zimmermann,de GER,DF,28.0,1.7,6.0,3,5.0,1.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,1,7.0,4.0,0.0,Matches
Tony Springett,eng ENG,"MF,FW",18.0,1.6,2.0,1,1.0,1.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,0,2.0,2.0,0.0,Matches
Jon Rowe,eng ENG,"FW,MF",18.0,2.5,3.0,2,2.0,1.0,0.0,2.0,3.0,66.7,1.0,7.0,0.0,7.0,3,6.0,1.0,0.0,Matches
Bali Mumba,eng ENG,DF,19.0,0.5,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,5.0,0.0,Matches
Squad Total,,,26.2,38.0,614.0,368,322.0,242.0,50.0,297.0,714.0,41.6,417.0,450.0,180.0,270.0,381,995.0,860.0,14.0,
Opponent Total,,,26.8,38.0,596.0,363,273.0,234.0,89.0,283.0,581.0,48.7,298.0,382.0,115.0,267.0,330,926.0,586.0,13.0,
Thibaut Courtois,be BEL,GK,29.0,36.0,1.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,9.0,1.0,Matches
Éder Militão,br BRA,DF,23.0,33.7,50.0,32,30.0,12.0,8.0,20.0,39.0,51.3,19.0,42.0,20.0,22.0,52,102.0,107.0,3.0,Matches
Karim Benzema,fr FRA,FW,33.0,28.8,11.0,9,5.0,3.0,3.0,2.0,9.0,22.2,7.0,10.0,0.0,10.0,4,15.0,13.0,0.0,Matches
Casemiro,br BRA,MF,29.0,28.5,79.0,51,45.0,30.0,4.0,30.0,67.0,44.8,37.0,65.0,19.0,46.0,38,117.0,65.0,3.0,Matches
Vinicius Júnior,br BRA,FW,21.0,29.9,46.0,24,23.0,19.0,4.0,15.0,50.0,30.0,35.0,25.0,0.0,25.0,6,52.0,6.0,0.0,Matches
David Alaba,at AUT,DF,29.0,29.4,23.0,13,15.0,6.0,2.0,9.0,19.0,47.4,10.0,26.0,15.0,11.0,22,45.0,70.0,1.0,Matches
