Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jeremy Sarmiento,ec ECU,"FW,MF",19.0,0.5,14.0,20.0,70.0,156.0,37.0,8.0,12.0,66.7,5.0,5.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches
Taylor Richards,eng ENG,MF,20.0,0.3,21.0,27.0,77.8,346.0,81.0,11.0,14.0,78.6,8.0,9.0,88.9,2.0,2.0,100.0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Matches
Evan Ferguson,ie IRL,MF,16.0,0.3,5.0,6.0,83.3,73.0,0.0,3.0,4.0,75.0,0.0,0.0,,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jürgen Locadia,nl NED,"MF,FW",27.0,0.3,1.0,1.0,100.0,25.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.2,38.0,16410.0,20588.0,79.7,288827.0,95307.0,7195.0,8172.0,88.0,7130.0,8208.0,86.9,1579.0,2953.0,53.5,30,32.3,31.5,-2.3,356.0,1187.0,342.0,72.0,1547.0,
Opponent Total,,,26.9,38.0,13304.0,17380.0,76.5,231327.0,84959.0,6148.0,7119.0,86.4,5425.0,6514.0,83.3,1321.0,2648.0,49.9,34,30.0,25.7,4.0,342.0,996.0,255.0,58.0,1263.0,
Conor Coady,eng ENG,DF,28.0,37.3,1514.0,1692.0,89.5,33155.0,12540.0,322.0,348.0,92.5,927.0,977.0,94.9,257.0,343.0,74.9,0,0.1,0.2,-0.1,3.0,51.0,3.0,0.0,35.0,Matches
José Sá,pt POR,GK,28.0,36.5,770.0,1109.0,69.4,20016.0,12844.0,161.0,164.0,98.2,379.0,386.0,98.2,223.0,548.0,40.7,1,0.9,0.0,0.1,3.0,14.0,1.0,0.0,2.0,Matches
João Moutinho,pt POR,MF,34.0,33.0,1700.0,2039.0,83.4,31501.0,7578.0,700.0,779.0,89.9,734.0,825.0,89.0,221.0,331.0,66.8,1,2.7,2.3,-1.7,39.0,170.0,18.0,4.0,196.0,Matches
Romain Saïss,ma MAR,DF,31.0,30.1,1437.0,1808.0,79.5,26860.0,12453.0,585.0,658.0,88.9,691.0,812.0,85.1,148.0,298.0,49.7,0,0.3,0.3,-0.3,7.0,159.0,1.0,0.0,137.0,Matches
Rúben Neves,pt POR,MF,24.0,29.6,1635.0,1992.0,82.1,34995.0,8702.0,487.0,553.0,88.1,827.0,937.0,88.3,299.0,416.0,71.9,2,3.1,2.7,-1.1,25.0,200.0,30.0,5.0,202.0,Matches
Max Kilman,eng ENG,DF,24.0,29.9,1313.0,1535.0,85.5,23958.0,8631.0,537.0,588.0,91.3,626.0,692.0,90.5,131.0,210.0,62.4,0,0.2,0.4,-0.2,3.0,98.0,3.0,0.0,95.0,Matches
Raúl Jiménez,mx MEX,FW,30.0,29.2,549.0,775.0,70.8,7513.0,1631.0,325.0,409.0,79.5,147.0,206.0,71.4,31.0,50.0,62.0,4,3.1,3.2,0.9,38.0,38.0,19.0,2.0,65.0,Matches
Nélson Semedo,pt POR,"MF,DF",27.0,23.7,916.0,1169.0,78.4,12766.0,4408.0,567.0,628.0,90.3,290.0,367.0,79.0,31.0,92.0,33.7,1,1.3,1.4,-0.3,18.0,62.0,12.0,2.0,78.0,Matches
Leander Dendoncker,be BEL,MF,26.0,21.7,709.0,822.0,86.3,11172.0,2199.0,328.0,377.0,87.0,301.0,328.0,91.8,45.0,57.0,78.9,2,1.1,0.4,0.9,11.0,52.0,4.0,0.0,64.0,Matches
Rayan Aït Nouri,dz ALG,"DF,MF",20.0,20.3,763.0,1025.0,74.4,12151.0,4064.0,418.0,472.0,88.6,273.0,361.0,75.6,54.0,141.0,38.3,2,1.6,1.1,0.4,17.0,28.0,14.0,10.0,49.0,Matches
Hwang Hee-chan,kr KOR,"FW,MF",25.0,20.2,513.0,639.0,80.3,7634.0,1456.0,291.0,341.0,85.3,160.0,187.0,85.6,37.0,51.0,72.5,1,1.3,1.3,-0.3,16.0,31.0,14.0,0.0,57.0,Matches
Fernando Marçal,br BRA,"MF,DF",32.0,16.1,669.0,887.0,75.4,10434.0,3383.0,356.0,394.0,90.4,264.0,347.0,76.1,35.0,87.0,40.2,0,0.6,0.7,-0.6,10.0,35.0,9.0,4.0,50.0,Matches
